Lab;Study_number;Start;Pathway;Tumors;Total
Batelle_Columbus_Laboratory;52000603;03/15/07;gavage_corn_oil;46;50
Batelle_Northwest;51047203;01/17/11;inhalation_air;41;50
Batelle_Columbus_Laboratory;51018801;02/18/11;oral_feed;41;50
Batelle_Columbus_Laboratory;51018802;06/28/11;pap_feed;44;50
Batelle_Columbus_Laboratory;51098701;08/31/10;pap_feed;47;50
Batelle_Columbus_Laboratory;51026001;11/09/10;pap_feed;44;50
Batelle_Columbus_Laboratory;52061401;10/28/08;pap_feed;47;50
Batelle_Columbus_Laboratory;52071203;12/13/11;pap_feed;46;50
Batelle_Columbus_Laboratory;50303803;01/31/12;pap_water;47;50
IIT_Research_Institute;52010556;09/16/12;wbe_air;89;90
